Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Halt Time,Departure Time,Distance,Distance Traveled,Distance to Next Station,Distance to Destination,Platform Number,Source Station,Source Station Name,Destination Station,Destination Station Name,Coach Count,Coaches
20705,Nanded-Mumbai CSMT Vande Bharat Express,1,NED,Hazur Sahib Nanded,--:--:--,0,05:00:00,0,0.0,59.0,609.0,4,NED,Nanded,CSMT,Mumbai CSMT,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20705,Nanded-Mumbai CSMT Vande Bharat Express,2,PBN,Parbhani Junction,05:40:00,2,05:42:00,59,59.0,114.0,550.0,3,NED,Nanded,CSMT,Mumbai CSMT,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20705,Nanded-Mumbai CSMT Vande Bharat Express,3,J,Jalna,07:20:00,2,07:22:00,173,173.0,63.0,436.0,1,NED,Nanded,CSMT,Mumbai CSMT,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20705,Nanded-Mumbai CSMT Vande Bharat Express,4,AWB,Aurangabad,08:13:00,2,08:15:00,236,236.0,113.0,373.0,1,NED,Nanded,CSMT,Mumbai CSMT,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20705,Nanded-Mumbai CSMT Vande Bharat Express,5,MMR,Manmad Junction,10:01:00,2,10:03:00,349,349.0,73.0,260.0,4,NED,Nanded,CSMT,Mumbai CSMT,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20705,Nanded-Mumbai CSMT Vande Bharat Express,6,NK,Nasik Road,11:00:00,2,11:02:00,422,422.0,134.0,187.0,3,NED,Nanded,CSMT,Mumbai CSMT,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20705,Nanded-Mumbai CSMT Vande Bharat Express,7,KYN,Kalyan Junction,13:20:00,2,13:22:00,556,556.0,20.0,53.0,5,NED,Nanded,CSMT,Mumbai CSMT,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20705,Nanded-Mumbai CSMT Vande Bharat Express,8,TNA,Thane,13:40:00,2,13:42:00,576,576.0,24.0,33.0,6,NED,Nanded,CSMT,Mumbai CSMT,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20705,Nanded-Mumbai CSMT Vande Bharat Express,9,DR,Dadar Central,14:08:00,2,14:10:00,600,600.0,9.0,9.0,12,NED,Nanded,CSMT,Mumbai CSMT,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20705,Nanded-Mumbai CSMT Vande Bharat Express,10,CSMT,Mumbai CSMT,14:25:00,0,--:--:--,609,609.0,0.0,0.0,8,NED,Nanded,CSMT,Mumbai CSMT,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20706,Mumbai CSMT-Nanded Vande Bharat Express,1,CSMT,Mumbai CSMT,--:--:--,0,13:10:00,0,0.0,9.0,609.0,14,CSMT,Mumbai CSMT,NED,Nanded,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20706,Mumbai CSMT-Nanded Vande Bharat Express,2,DR,Dadar Central,13:17:00,2,13:19:00,9,9.0,24.0,600.0,10,CSMT,Mumbai CSMT,NED,Nanded,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20706,Mumbai CSMT-Nanded Vande Bharat Express,3,TNA,Thane,13:40:00,2,13:42:00,33,33.0,20.0,576.0,5,CSMT,Mumbai CSMT,NED,Nanded,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20706,Mumbai CSMT-Nanded Vande Bharat Express,4,KYN,Kalyan Junction,14:04:00,2,14:06:00,53,53.0,134.0,556.0,4,CSMT,Mumbai CSMT,NED,Nanded,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20706,Mumbai CSMT-Nanded Vande Bharat Express,5,NK,Nasik Road,16:18:00,2,16:20:00,187,187.0,73.0,422.0,2,CSMT,Mumbai CSMT,NED,Nanded,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20706,Mumbai CSMT-Nanded Vande Bharat Express,6,MMR,Manmad Junction,17:18:00,2,17:20:00,260,260.0,113.0,349.0,4,CSMT,Mumbai CSMT,NED,Nanded,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20706,Mumbai CSMT-Nanded Vande Bharat Express,7,AWB,Aurangabad,18:48:00,2,18:50:00,373,373.0,63.0,236.0,2,CSMT,Mumbai CSMT,NED,Nanded,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20706,Mumbai CSMT-Nanded Vande Bharat Express,8,J,Jalna,19:43:00,2,19:45:00,436,436.0,114.0,173.0,3,CSMT,Mumbai CSMT,NED,Nanded,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20706,Mumbai CSMT-Nanded Vande Bharat Express,9,PBN,Parbhani Junction,21:33:00,2,21:35:00,550,550.0,59.0,59.0,3,CSMT,Mumbai CSMT,NED,Nanded,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20706,Mumbai CSMT-Nanded Vande Bharat Express,10,NED,Hazur Sahib Nanded,22:50:00,0,--:--:--,609,609.0,0.0,0.0,1,CSMT,Mumbai CSMT,NED,Nanded,20,"C1, C18, E1, E2, C2, C17, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16"
20707,Secunderabad-Visakhapatnam Vande Bharat Express,1,SC,Secunderabad Junction,--:--:--,0,05:05:00,0,0.0,144.0,703.0,10,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20707,Secunderabad-Visakhapatnam Vande Bharat Express,2,WL,Warangal,06:38:00,2,06:40:00,144,144.0,108.0,559.0,1,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20707,Secunderabad-Visakhapatnam Vande Bharat Express,3,KMT,Khammam,07:43:00,2,07:45:00,252,252.0,101.0,451.0,1,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20707,Secunderabad-Visakhapatnam Vande Bharat Express,4,BZA,Vijayawada Junction,09:00:00,5,09:05:00,353,353.0,60.0,350.0,6,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20707,Secunderabad-Visakhapatnam Vande Bharat Express,5,EE,Eluru,09:49:00,1,09:50:00,413,413.0,90.0,290.0,2,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20707,Secunderabad-Visakhapatnam Vande Bharat Express,6,RJY,Rajahmundry,10:48:00,2,10:50:00,503,503.0,50.0,200.0,3,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20707,Secunderabad-Visakhapatnam Vande Bharat Express,7,SLO,Samalkot Junction,11:18:00,2,11:20:00,553,553.0,150.0,150.0,1,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20707,Secunderabad-Visakhapatnam Vande Bharat Express,8,VSKP,Visakhapatnam Junction,13:50:00,0,--:--:--,703,703.0,0.0,0.0,1,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20708,Visakhapatnam-Secunderabad Vande Bharat Express,1,VSKP,Visakhapatnam Junction,--:--:--,0,14:30:00,0,0.0,151.0,703.0,8,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20708,Visakhapatnam-Secunderabad Vande Bharat Express,2,SLO,Samalkot Junction,15:48:00,2,15:50:00,151,151.0,50.0,552.0,1,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20708,Visakhapatnam-Secunderabad Vande Bharat Express,3,RJY,Rajahmundry,16:18:00,2,16:20:00,201,201.0,90.0,502.0,1,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20708,Visakhapatnam-Secunderabad Vande Bharat Express,4,EE,Eluru,17:44:00,1,17:45:00,291,291.0,59.0,412.0,3,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20708,Visakhapatnam-Secunderabad Vande Bharat Express,5,BZA,Vijayawada Junction,18:40:00,5,18:45:00,350,350.0,101.0,353.0,6,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20708,Visakhapatnam-Secunderabad Vande Bharat Express,6,KMT,Khammam,20:04:00,1,20:05:00,451,451.0,109.0,252.0,2,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20708,Visakhapatnam-Secunderabad Vande Bharat Express,7,WL,Warangal,21:03:00,2,21:05:00,560,560.0,143.0,143.0,3,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20708,Visakhapatnam-Secunderabad Vande Bharat Express,8,SC,Secunderabad Junction,23:25:00,0,--:--:--,703,703.0,0.0,0.0,10,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E1, E2, C12, C13, C14, C15, C16, C17, C18"
20825,Bilaspur-Nagpur Vande Bharat Express,1,BSP,Bilaspur Junction,--:--:--,0,06:45:00,0,0.0,109.0,411.0,7,BSP,Bilaspur,NGP,Nagpur,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20825,Bilaspur-Nagpur Vande Bharat Express,2,R,Raipur Junction,08:01:00,2,08:03:00,109,109.0,37.0,302.0,2,BSP,Bilaspur,NGP,Nagpur,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20825,Bilaspur-Nagpur Vande Bharat Express,3,DURG,Durg,08:43:00,2,08:45:00,146,146.0,31.0,265.0,3,BSP,Bilaspur,NGP,Nagpur,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20825,Bilaspur-Nagpur Vande Bharat Express,4,RJN,Raj Nandgaon,09:02:00,1,09:03:00,177,177.0,31.0,234.0,2,BSP,Bilaspur,NGP,Nagpur,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20825,Bilaspur-Nagpur Vande Bharat Express,5,DGG,Dongargarh,09:21:00,1,09:22:00,208,208.0,73.0,203.0,1,BSP,Bilaspur,NGP,Nagpur,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20825,Bilaspur-Nagpur Vande Bharat Express,6,G,Gondia Junction,10:20:00,2,10:22:00,281,281.0,130.0,130.0,3,BSP,Bilaspur,NGP,Nagpur,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20825,Bilaspur-Nagpur Vande Bharat Express,7,NGP,Nagpur Junction,12:15:00,0,--:--:--,411,411.0,0.0,0.0,8,BSP,Bilaspur,NGP,Nagpur,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20826,Nagpur-Bilaspur Vande Bharat Express,1,NGP,Nagpur Junction,--:--:--,0,14:05:00,0,0.0,103.0,411.0,8,NGP,Nagpur,BSP,Bilaspur,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20826,Nagpur-Bilaspur Vande Bharat Express,2,G,Gondia Junction,15:28:00,2,15:30:00,103,103.0,101.0,308.0,4,NGP,Nagpur,BSP,Bilaspur,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20826,Nagpur-Bilaspur Vande Bharat Express,3,DGG,Dongargarh,16:19:00,1,16:20:00,204,204.0,31.0,207.0,2,NGP,Nagpur,BSP,Bilaspur,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20826,Nagpur-Bilaspur Vande Bharat Express,4,RJN,Raj Nandgaon,16:41:00,1,16:42:00,235,235.0,31.0,176.0,1,NGP,Nagpur,BSP,Bilaspur,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20826,Nagpur-Bilaspur Vande Bharat Express,5,DURG,Durg,17:15:00,2,17:17:00,266,266.0,36.0,145.0,3,NGP,Nagpur,BSP,Bilaspur,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20826,Nagpur-Bilaspur Vande Bharat Express,6,R,Raipur Junction,17:44:00,2,17:46:00,302,302.0,109.0,109.0,6,NGP,Nagpur,BSP,Bilaspur,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20826,Nagpur-Bilaspur Vande Bharat Express,7,BSP,Bilaspur Junction,19:25:00,0,--:--:--,411,411.0,0.0,0.0,7,NGP,Nagpur,BSP,Bilaspur,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20829,Durg-Visakhapatnam Vande Bharat Express,1,DURG,Durg Junction,--:--:--,0,05:45:00,0,0.0,36.0,565.0,1,DURG,Durg,VSKP,Visakhapatnam,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20829,Durg-Visakhapatnam Vande Bharat Express,2,R,Raipur Junction,06:13:00,5,06:18:00,36,36.0,155.0,529.0,2,DURG,Durg,VSKP,Visakhapatnam,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20829,Durg-Visakhapatnam Vande Bharat Express,3,MSMD,Mahasamund,06:50:00,2,06:52:00,191,191.0,-48.0,374.0,2,DURG,Durg,VSKP,Visakhapatnam,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20829,Durg-Visakhapatnam Vande Bharat Express,4,KRAR,Khariar Road,07:28:00,2,07:30:00,143,143.0,64.0,422.0,2,DURG,Durg,VSKP,Visakhapatnam,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20829,Durg-Visakhapatnam Vande Bharat Express,5,KBJ,Kantabanji,08:13:00,2,08:15:00,207,207.0,34.0,358.0,1,DURG,Durg,VSKP,Visakhapatnam,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20829,Durg-Visakhapatnam Vande Bharat Express,6,TIG,Titlagarh Junction,08:45:00,5,08:50:00,241,241.0,13.0,324.0,1,DURG,Durg,VSKP,Visakhapatnam,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20829,Durg-Visakhapatnam Vande Bharat Express,7,KSNG,Kesinga,09:00:00,2,09:02:00,254,254.0,126.0,311.0,1,DURG,Durg,VSKP,Visakhapatnam,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20829,Durg-Visakhapatnam Vande Bharat Express,8,RGDA,Rayagada,10:50:00,2,10:52:00,380,380.0,47.0,185.0,4,DURG,Durg,VSKP,Visakhapatnam,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20829,Durg-Visakhapatnam Vande Bharat Express,9,PVP,Parvatipuram,11:30:00,2,11:32:00,427,427.0,77.0,138.0,3,DURG,Durg,VSKP,Visakhapatnam,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20829,Durg-Visakhapatnam Vande Bharat Express,10,VZM,Vizianagaram Junction,12:30:00,2,12:32:00,504,504.0,61.0,61.0,3,DURG,Durg,VSKP,Visakhapatnam,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20829,Durg-Visakhapatnam Vande Bharat Express,11,VSKP,Visakhapatnam Junction,13:50:00,0,--:--:--,565,565.0,0.0,0.0,2,DURG,Durg,VSKP,Visakhapatnam,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20830,Visakhapatnam-Durg Vande Bharat Express,1,VSKP,Visakhapatnam Junction,--:--:--,0,14:50:00,0,0.0,61.0,565.0,3,VSKP,Visakhapatnam,DURG,Durg,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20830,Visakhapatnam-Durg Vande Bharat Express,2,VZM,Vizianagaram Junction,15:33:00,2,15:35:00,61,61.0,77.0,504.0,4,VSKP,Visakhapatnam,DURG,Durg,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20830,Visakhapatnam-Durg Vande Bharat Express,3,PVP,Parvatipuram,16:35:00,2,16:37:00,138,138.0,47.0,427.0,1,VSKP,Visakhapatnam,DURG,Durg,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20830,Visakhapatnam-Durg Vande Bharat Express,4,RGDA,Rayagada,17:13:00,2,17:15:00,185,185.0,127.0,380.0,5,VSKP,Visakhapatnam,DURG,Durg,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20830,Visakhapatnam-Durg Vande Bharat Express,5,KSNG,Kesinga,18:50:00,2,18:52:00,312,312.0,12.0,253.0,1,VSKP,Visakhapatnam,DURG,Durg,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20830,Visakhapatnam-Durg Vande Bharat Express,6,TIG,Titlagarh Junction,19:05:00,5,19:10:00,324,324.0,34.0,241.0,1,VSKP,Visakhapatnam,DURG,Durg,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20830,Visakhapatnam-Durg Vande Bharat Express,7,KBJ,Kantabanji,19:35:00,2,19:37:00,358,358.0,64.0,207.0,1,VSKP,Visakhapatnam,DURG,Durg,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20830,Visakhapatnam-Durg Vande Bharat Express,8,KRAR,Khariar Road,20:20:00,2,20:22:00,422,422.0,52.0,143.0,1,VSKP,Visakhapatnam,DURG,Durg,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20830,Visakhapatnam-Durg Vande Bharat Express,9,MSMD,Mahasamund,21:00:00,2,21:02:00,474,474.0,55.0,91.0,1,VSKP,Visakhapatnam,DURG,Durg,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20830,Visakhapatnam-Durg Vande Bharat Express,10,R,Raipur Junction,22:05:00,5,22:10:00,529,529.0,36.0,36.0,1,VSKP,Visakhapatnam,DURG,Durg,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20830,Visakhapatnam-Durg Vande Bharat Express,11,DURG,Durg Junction,22:50:00,0,--:--:--,565,565.0,0.0,0.0,1,VSKP,Visakhapatnam,DURG,Durg,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20833,Visakhapatnam-Secunderabad Vande Bharat Express,1,VSKP,Visakhapatnam Junction,--:--:--,0,05:45:00,0,0.0,151.0,703.0,8,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20833,Visakhapatnam-Secunderabad Vande Bharat Express,2,SLO,Samalkot Junction,07:03:00,2,07:05:00,151,151.0,50.0,552.0,1,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20833,Visakhapatnam-Secunderabad Vande Bharat Express,3,RJY,Rajahmundry,07:38:00,2,07:40:00,201,201.0,149.0,502.0,1,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20833,Visakhapatnam-Secunderabad Vande Bharat Express,4,BZA,Vijayawada Junction,09:40:00,5,09:45:00,350,350.0,101.0,353.0,6,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20833,Visakhapatnam-Secunderabad Vande Bharat Express,5,KMT,Khammam,11:00:00,1,11:01:00,451,451.0,109.0,252.0,2,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20833,Visakhapatnam-Secunderabad Vande Bharat Express,6,WL,Warangal,12:05:00,1,12:06:00,560,560.0,143.0,143.0,3,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20833,Visakhapatnam-Secunderabad Vande Bharat Express,7,SC,Secunderabad Junction,14:20:00,0,--:--:--,703,703.0,0.0,0.0,10,VSKP,Visakhapatnam,SC,Secunderabad,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20834,Secunderabad-Visakhapatnam Vande Bharat Express,1,SC,Secunderabad Junction,--:--:--,0,15:00:00,0,0.0,144.0,703.0,10,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20834,Secunderabad-Visakhapatnam Vande Bharat Express,2,WL,Warangal,16:35:00,1,16:36:00,144,144.0,108.0,559.0,1,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20834,Secunderabad-Visakhapatnam Vande Bharat Express,3,KMT,Khammam,17:45:00,1,17:46:00,252,252.0,101.0,451.0,1,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20834,Secunderabad-Visakhapatnam Vande Bharat Express,4,BZA,Vijayawada Junction,18:50:00,5,18:55:00,353,353.0,150.0,350.0,6,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20834,Secunderabad-Visakhapatnam Vande Bharat Express,5,RJY,Rajahmundry,20:43:00,2,20:45:00,503,503.0,50.0,200.0,3,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20834,Secunderabad-Visakhapatnam Vande Bharat Express,6,SLO,Samalkot Junction,21:23:00,2,21:25:00,553,553.0,150.0,150.0,1,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20834,Secunderabad-Visakhapatnam Vande Bharat Express,7,VSKP,Visakhapatnam Junction,23:35:00,0,--:--:--,703,703.0,0.0,0.0,1,SC,Secunderabad,VSKP,Visakhapatnam,20,"C1, C2, C3, C4, C5, C6, C7, E1, E2, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18"
20835,Rourkela-Puri Vande Bharat Express,1,ROU,Rourkela Junction,--:--:--,0,14:10:00,0,0.0,102.0,506.0,2,ROU,Rourkela,PURI,Puri,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20835,Rourkela-Puri Vande Bharat Express,2,JSG,Jharsuguda Junction,15:18:00,2,15:20:00,102,102.0,45.0,404.0,1,ROU,Rourkela,PURI,Puri,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20835,Rourkela-Puri Vande Bharat Express,3,SBPY,Sambalpur City,16:05:00,5,16:10:00,147,147.0,65.0,359.0,1,ROU,Rourkela,PURI,Puri,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20835,Rourkela-Puri Vande Bharat Express,4,RAIR,Rairakhol,16:50:00,2,16:52:00,212,212.0,86.0,294.0,1,ROU,Rourkela,PURI,Puri,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20835,Rourkela-Puri Vande Bharat Express,5,ANGL,Angul,18:00:00,2,18:02:00,298,298.0,12.0,208.0,3,ROU,Rourkela,PURI,Puri,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20835,Rourkela-Puri Vande Bharat Express,6,TLHR,Talcher Road,18:13:00,2,18:15:00,310,310.0,48.0,196.0,2,ROU,Rourkela,PURI,Puri,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20835,Rourkela-Puri Vande Bharat Express,7,DNKL,Dhenkanal,18:45:00,2,18:47:00,358,358.0,58.0,148.0,2,ROU,Rourkela,PURI,Puri,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20835,Rourkela-Puri Vande Bharat Express,8,CTC,Cuttack Junction,20:00:00,2,20:02:00,416,416.0,27.0,90.0,3,ROU,Rourkela,PURI,Puri,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20835,Rourkela-Puri Vande Bharat Express,9,BBS,Bhubaneshwar,20:30:00,5,20:35:00,443,443.0,19.0,63.0,3,ROU,Rourkela,PURI,Puri,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20835,Rourkela-Puri Vande Bharat Express,10,KUR,Khurda Road Junction,20:55:00,2,20:57:00,462,462.0,44.0,44.0,4,ROU,Rourkela,PURI,Puri,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20835,Rourkela-Puri Vande Bharat Express,11,PURI,Puri,21:40:00,0,--:--:--,506,506.0,0.0,0.0,1,ROU,Rourkela,PURI,Puri,8,"C7, C1, E1, C6, C2, C5, C4, C3"
