Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Halt Time,Departure Time,Distance,Distance Traveled,Distance to Next Station,Distance to Destination,Platform Number,Source Station,Source Station Name,Destination Station,Destination Station Name,Coach Count,Coaches
20101,Nagpur-Secunderabad Vande Bharat Express,9,SC,Secunderabad Junction,12:15:00,0,--:--:--,579,579.0,0.0,0.0,1,NGP,Nagpur,SC,Secunderabad,8,"C1, C7, E1, C2, C6, C3, C4, C5"
20102,Secunderabad-Nagpur Vande Bharat Express,1,SC,Secunderabad Junction,--:--:--,0,13:00:00,0,0.0,131.0,579.0,1,SC,Secunderabad,NGP,Nagpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20102,Secunderabad-Nagpur Vande Bharat Express,2,KZJ,Kazipet Junction,14:28:00,2,14:30:00,131,131.0,97.0,448.0,2,SC,Secunderabad,NGP,Nagpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20102,Secunderabad-Nagpur Vande Bharat Express,3,RDM,Ramagundam,15:23:00,2,15:25:00,228,228.0,14.0,351.0,3,SC,Secunderabad,NGP,Nagpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20102,Secunderabad-Nagpur Vande Bharat Express,4,MCI,Mancherial,15:37:00,1,15:38:00,242,242.0,59.0,337.0,3,SC,Secunderabad,NGP,Nagpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20102,Secunderabad-Nagpur Vande Bharat Express,5,SKZR,Sirpur Kaghaznagar,16:14:00,1,16:15:00,301,301.0,70.0,278.0,1,SC,Secunderabad,NGP,Nagpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20102,Secunderabad-Nagpur Vande Bharat Express,6,BPQ,Balharshah,17:25:00,5,17:30:00,371,371.0,13.0,208.0,4,SC,Secunderabad,NGP,Nagpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20102,Secunderabad-Nagpur Vande Bharat Express,7,CD,Chandrapur,17:43:00,2,17:45:00,384,384.0,119.0,195.0,2,SC,Secunderabad,NGP,Nagpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20102,Secunderabad-Nagpur Vande Bharat Express,8,SEGM,Sevagram Junction,19:03:00,2,19:05:00,503,503.0,76.0,76.0,1,SC,Secunderabad,NGP,Nagpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20102,Secunderabad-Nagpur Vande Bharat Express,9,NGP,Nagpur Junction,20:20:00,0,--:--:--,579,579.0,0.0,0.0,5,SC,Secunderabad,NGP,Nagpur,8,"C7, C1, E1, C6, C2, C5, C4, C3"
20171,Rani Kamalapati-Hazrat Nizamuddin Vande Bharat Express,1,RKMP,Rani Kamalapati,--:--:--,0,05:40:00,0,0.0,296.0,699.0,1,RKMP,Rani Kamalapati,NZM,Hazrat Nizamuddin,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20171,Rani Kamalapati-Hazrat Nizamuddin Vande Bharat Express,2,VGLJ,Virangana Lakshmibai Jhansi Junction,08:39:00,4,08:43:00,296,296.0,98.0,403.0,5,RKMP,Rani Kamalapati,NZM,Hazrat Nizamuddin,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20171,Rani Kamalapati-Hazrat Nizamuddin Vande Bharat Express,3,GWL,Gwalior Junction,09:41:00,4,09:45:00,394,394.0,119.0,305.0,2,RKMP,Rani Kamalapati,NZM,Hazrat Nizamuddin,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20171,Rani Kamalapati-Hazrat Nizamuddin Vande Bharat Express,4,AGC,Agra Cantt,11:01:00,4,11:05:00,513,513.0,186.0,186.0,2,RKMP,Rani Kamalapati,NZM,Hazrat Nizamuddin,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20171,Rani Kamalapati-Hazrat Nizamuddin Vande Bharat Express,5,NZM,Hazrat Nizamuddin,13:16:00,0,--:--:--,699,699.0,0.0,0.0,4,RKMP,Rani Kamalapati,NZM,Hazrat Nizamuddin,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20172,Hazrat Nizamuddin-Rani Kamalapati Vande Bharat Express,1,NZM,Hazrat Nizamuddin,--:--:--,0,14:40:00,0,0.0,187.0,699.0,4,NZM,Hazrat Nizamuddin,RKMP,Rani Kamalapati,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20172,Hazrat Nizamuddin-Rani Kamalapati Vande Bharat Express,2,AGC,Agra Cantt,16:16:00,4,16:20:00,187,187.0,118.0,512.0,1,NZM,Hazrat Nizamuddin,RKMP,Rani Kamalapati,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20172,Hazrat Nizamuddin-Rani Kamalapati Vande Bharat Express,3,GWL,Gwalior Junction,17:38:00,4,17:42:00,305,305.0,99.0,394.0,1,NZM,Hazrat Nizamuddin,RKMP,Rani Kamalapati,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20172,Hazrat Nizamuddin-Rani Kamalapati Vande Bharat Express,4,VGLJ,Virangana Lakshmibai Jhansi Junction,18:56:00,4,19:00:00,404,404.0,295.0,295.0,1,NZM,Hazrat Nizamuddin,RKMP,Rani Kamalapati,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20172,Hazrat Nizamuddin-Rani Kamalapati Vande Bharat Express,5,RKMP,Rani Kamalapati,22:16:00,0,--:--:--,699,699.0,0.0,0.0,5,NZM,Hazrat Nizamuddin,RKMP,Rani Kamalapati,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20173,Rani Kamalapati-Rewa Vande Bharat Express,1,RKMP,Rani Kamalapati,--:--:--,0,15:30:00,0,0.0,68.0,569.0,2,RKMP,Rani Kamalapati,RE,Rewa,8,"C7, C6, C5, C4, C3, E1, C2, C1"
